"Empresa";"Credor";"Centro de Custo";"Plano Financeiro";"Documento";"Lançamento";"Parcela";"Id";"Dt. emissão";"Valor original";"Dt. vencimento";"Saldo atual";"Dias";"Dt. baixa";"Valor baixa";"Acréscimo";"Desconto";"Pagto líquido";"";"";"";"";"";"";
"2 - EINDOM HOUSE ADMINISTRADORA DE IMÓVEIS LTDA";"14 - INSTITUTO NACIONAL DO SEGURO SOCIAL - RET. TERC.";"204 - Eindom House  - Operações";"2.04.03.05 - INSS Terceiros PJ";"DARF.RET INSS 04.2023";"2928";"1/1";"00";"30/04/2023";"627,00";"19/05/2023";"0,00";"0";"15/05/2023";"627,00";"0,00";"0,00";"627,00";"";"";"";"";"";"";
"2 - EINDOM HOUSE ADMINISTRADORA DE IMÓVEIS LTDA";"14 - INSTITUTO NACIONAL DO SEGURO SOCIAL - RET. TERC.";"202 - Eindom House - Comercial";"2.04.03.05 - INSS Terceiros PJ";"DARF.RET INSS 05/2023";"3343";"1/1";"00";"31/05/2023";"178,20";"20/06/2023";"0,00";"0";"20/06/2023";"178,20";"0,00";"0,00";"178,20";"";"";"";"";"";"";
"2 - EINDOM HOUSE ADMINISTRADORA DE IMÓVEIS LTDA";"14 - INSTITUTO NACIONAL DO SEGURO SOCIAL - RET. TERC.";"200 - Eindom House - Obra";"2.04.03.05 - INSS Terceiros PJ";"DARF.INSS Retido - 0823";"5094";"1/1";"00";"31/08/2023";"11.838,42";"20/09/2023";"0,00";"0";"20/09/2023";"11.838,42";"0,00";"0,00";"11.838,42";"";"";"";"";"";"";
"2 - EINDOM HOUSE ADMINISTRADORA DE IMÓVEIS LTDA";"14 - INSTITUTO NACIONAL DO SEGURO SOCIAL - RET. TERC.";"202 - Eindom House - Comercial";"2.04.03.05 - INSS Terceiros PJ";"DARF.INSS Retido - 0823";"5094";"1/1";"00";"31/08/2023";"593,06";"20/09/2023";"0,00";"0";"20/09/2023";"593,06";"0,00";"0,00";"593,06";"";"";"";"";"";"";
"2 - EINDOM HOUSE ADMINISTRADORA DE IMÓVEIS LTDA";"14 - INSTITUTO NACIONAL DO SEGURO SOCIAL - RET. TERC.";"204 - Eindom House  - Operações";"2.04.03.05 - INSS Terceiros PJ";"DARF.INSS Retido - 0823";"5094";"1/1";"00";"31/08/2023";"10.189,49";"20/09/2023";"0,00";"0";"20/09/2023";"10.189,49";"0,00";"0,00";"10.189,49";"";"";"";"";"";"";
"2 - EINDOM HOUSE ADMINISTRADORA DE IMÓVEIS LTDA";"15 - 4MM INOVACOES EM NEGOCIOS LTDA";"201 - Eindom House - Adm/Financeiro";"2.01.05.06 - Desp. de Viagens";"REC .280823";"4726";"1/1";"00";"28/08/2023";"1.061,70";"30/08/2023";"0,00";"0";"30/08/2023";"1.061,70";"0,00";"0,00";"1.061,70";"";"";"";"";"";"";
"2 - EINDOM HOUSE ADMINISTRADORA DE IMÓVEIS LTDA";"16 - ENASHOPP - EMPRESA NACIONAL DE ADMINISTRACAO DE SHOPPING CENTERS LTDA";"202 - Eindom House - Comercial";"2.01.06.01 - Aluguéis";"REC .11100015790";"1583";"1/1";"00";"03/02/2023";"13.123,20";"06/02/2023";"0,00";"0";"06/02/2023";"13.123,20";"0,00";"0,00";"13.123,20";"";"";"";"";"";"";
"2 - EINDOM HOUSE ADMINISTRADORA DE IMÓVEIS LTDA";"16 - ENASHOPP - EMPRESA NACIONAL DE ADMINISTRACAO DE SHOPPING CENTERS LTDA";"202 - Eindom House - Comercial";"2.01.06.02 - Condomínio";"REC .11100015790";"1583";"1/1";"00";"03/02/2023";"22.806,55";"06/02/2023";"0,00";"0";"06/02/2023";"22.806,55";"0,00";"0,00";"22.806,55";"";"";"";"";"";"";
"2 - EINDOM HOUSE ADMINISTRADORA DE IMÓVEIS LTDA";"16 - ENASHOPP - EMPRESA NACIONAL DE ADMINISTRACAO DE SHOPPING CENTERS LTDA";"202 - Eindom House - Comercial";"2.01.06.01 - Aluguéis";"REC .202302013445";"1930";"1/1";"00";"01/03/2023";"13.123,20";"06/03/2023";"0,00";"0";"06/03/2023";"13.123,20";"0,00";"0,00";"13.123,20";"";"";"";"";"";"";
"2 - EINDOM HOUSE ADMINISTRADORA DE IMÓVEIS LTDA";"16 - ENASHOPP - EMPRESA NACIONAL DE ADMINISTRACAO DE SHOPPING CENTERS LTDA";"202 - Eindom House - Comercial";"2.01.06.02 - Condomínio";"REC .202302013445";"1930";"1/1";"00";"01/03/2023";"23.313,94";"06/03/2023";"0,00";"0";"06/03/2023";"23.313,94";"0,00";"0,00";"23.313,94";"";"";"";"";"";"";
